variables=Time[s],x[m],y[m],z[m],disp_x[m],disp_y[m],disp_z[m],disp_mag[m],CL,CD,CSF,CMx,CMy,CMz
0.00E+00,2.67E-01,2.03E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.00E-04,2.67E-01,2.03E-01,-6.30E-08,3.00E-08,-1.21E-08,-6.30E-08,7.08E-08,1.45E-04,3.86E-03,-1.45E-03,2.36E-05,-2.05E-06,-4.79E-04
1.00E-03,2.67E-01,2.03E-01,4.50E-07,2.37E-09,-3.77E-09,4.50E-07,4.50E-07,2.13E-04,2.98E-03,-1.26E-03,4.68E-05,-1.59E-05,-3.20E-04
1.50E-03,2.67E-01,2.03E-01,1.84E-06,1.84E-08,-1.97E-09,1.84E-06,1.84E-06,2.40E-04,2.69E-03,-1.30E-03,6.44E-05,-1.98E-05,-2.54E-04
2.00E-03,2.67E-01,2.03E-01,3.72E-06,3.61E-08,6.34E-10,3.72E-06,3.72E-06,2.57E-04,2.56E-03,-1.32E-03,7.40E-05,-1.77E-05,-2.28E-04
2.50E-03,2.67E-01,2.03E-01,5.83E-06,3.39E-08,9.68E-09,5.83E-06,5.83E-06,2.62E-04,2.51E-03,-1.33E-03,7.70E-05,-1.61E-05,-2.18E-04
3.00E-03,2.67E-01,2.03E-01,8.21E-06,4.55E-08,1.45E-08,8.21E-06,8.21E-06,2.56E-04,2.50E-03,-1.33E-03,7.56E-05,-1.47E-05,-2.14E-04
3.50E-03,2.67E-01,2.03E-01,1.08E-05,4.59E-08,2.58E-08,1.08E-05,1.08E-05,2.42E-04,2.49E-03,-1.33E-03,7.19E-05,-1.33E-05,-2.12E-04
4.00E-03,2.67E-01,2.03E-01,1.34E-05,4.77E-08,3.51E-08,1.34E-05,1.34E-05,2.24E-04,2.49E-03,-1.33E-03,6.73E-05,-1.21E-05,-2.12E-04
4.50E-03,2.67E-01,2.03E-01,1.59E-05,4.78E-08,3.99E-08,1.59E-05,1.59E-05,2.11E-04,2.49E-03,-1.33E-03,6.31E-05,-1.17E-05,-2.12E-04
5.00E-03,2.67E-01,2.03E-01,1.88E-05,5.20E-08,4.47E-08,1.88E-05,1.88E-05,2.02E-04,2.49E-03,-1.33E-03,5.99E-05,-1.20E-05,-2.12E-04
